loan_id,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
LN100040,Male,Yes,0,Graduate,No,8140,780.0,273.0,300.0,0.0,Rural,Rejected
LN100041,Male,Yes,2,Graduate,No,9858,135.0,195.0,360.0,1.0,Urban,Approved
LN100042,Male,Yes,2,Graduate,No,11465,2163.0,79.0,360.0,0.0,Semiurban,Approved
LN100043,Male,Yes,2,Graduate,No,14053,4702.0,94.0,300.0,0.0,Urban,Rejected
LN100044,Female,Yes,2,Graduate,No,4406,3397.0,520.0,360.0,0.0,Urban,Approved
LN100045,Male,Yes,2,Not Graduate,No,9646,1877.0,83.0,360.0,1.0,Semiurban,Rejected
LN100046,Male,No,1,Graduate,No,10443,3926.0,476.0,360.0,0.0,Semiurban,Rejected
LN100047,Male,Yes,0,Graduate,No,8232,1392.0,270.0,360.0,0.0,Rural,Rejected
LN100048,Male,No,0,Graduate,No,5565,86.0,583.0,360.0,1.0,Urban,Rejected
LN100049,Male,No,3+,Not Graduate,,4238,4586.0,416.0,360.0,1.0,Semiurban,Rejected
LN100050,Male,Yes,1,Graduate,No,14302,3742.0,599.0,240.0,1.0,Semiurban,Rejected
LN100051,Female,Yes,2,Graduate,No,11541,4574.0,631.0,300.0,1.0,Rural,Approved
LN100052,Female,Yes,0,Not Graduate,No,8158,234.0,165.0,360.0,0.0,Urban,Rejected
LN100053,Female,Yes,0,Not Graduate,No,13466,5023.0,288.0,360.0,1.0,Urban,Approved
LN100054,Female,No,0,Not Graduate,No,10119,3717.0,384.0,360.0,1.0,Semiurban,Rejected
LN100055,Male,Yes,1,Not Graduate,No,7741,3380.0,490.0,300.0,1.0,Semiurban,Approved
LN100056,Female,Yes,0,Graduate,Yes,9444,3748.0,197.0,120.0,1.0,Urban,Approved
LN100057,Male,Yes,0,Graduate,No,6655,5187.0,58.0,360.0,1.0,Rural,Approved
LN100058,,Yes,0,Graduate,No,8347,3522.0,337.0,300.0,0.0,Urban,Rejected
LN100059,Male,Yes,0,Not Graduate,No,8996,3486.0,437.0,360.0,1.0,Rural,Approved
LN100060,Male,Yes,1,Graduate,No,7711,5944.0,99.0,120.0,0.0,Urban,Approved
LN100061,Male,Yes,0,Graduate,No,8281,4540.0,566.0,360.0,1.0,Semiurban,Approved
LN100062,Male,No,2,Graduate,No,4561,2654.0,687.0,360.0,1.0,Rural,Approved
LN100063,Female,Yes,0,Graduate,No,6256,4244.0,636.0,240.0,1.0,Urban,Approved
LN100064,Male,Yes,0,Graduate,No,14656,2335.0,327.0,360.0,1.0,Rural,Approved
LN100065,Male,Yes,0,Not Graduate,No,11407,1373.0,349.0,180.0,1.0,Semiurban,Rejected
LN100066,Male,Yes,0,Not Graduate,No,8161,3581.0,638.0,360.0,1.0,Rural,Rejected
LN100067,Male,Yes,0,Graduate,No,7493,5569.0,698.0,360.0,1.0,Semiurban,Approved
LN100068,Female,Yes,0,Graduate,Yes,7588,5575.0,667.0,360.0,1.0,Urban,Rejected
LN100069,Male,Yes,1,Graduate,No,2001,2051.0,656.0,360.0,1.0,Urban,Approved
LN100070,Female,Yes,0,Graduate,No,7960,3166.0,184.0,360.0,1.0,Urban,Approved
LN100071,Female,Yes,1,Not Graduate,No,12361,1270.0,629.0,240.0,1.0,Urban,Approved
LN100072,Male,No,2,Graduate,No,2317,5974.0,196.0,120.0,1.0,Urban,Approved
LN100073,Male,Yes,2,Graduate,No,9537,5887.0,539.0,360.0,1.0,Urban,Approved
LN100074,Female,Yes,0,Not Graduate,No,11333,3897.0,527.0,360.0,1.0,Semiurban,Approved
LN100075,Female,Yes,0,Graduate,No,14768,4826.0,208.0,360.0,0.0,Rural,Approved
LN100076,Female,No,0,Graduate,No,3788,4291.0,433.0,360.0,1.0,Urban,Approved
LN100077,Female,Yes,0,Graduate,Yes,13537,3559.0,212.0,360.0,1.0,Urban,Approved
LN100078,Male,Yes,3+,Graduate,No,14512,320.0,490.0,360.0,1.0,Semiurban,Rejected
LN100079,Male,No,0,Graduate,Yes,5602,2729.0,238.0,360.0,1.0,Urban,Approved
LN100080,Male,No,0,Graduate,No,7608,4049.0,464.0,360.0,1.0,Urban,Approved
LN100081,Female,No,1,Graduate,No,13267,4065.0,388.0,360.0,1.0,Urban,Approved
LN100082,Male,Yes,1,Not Graduate,No,13646,2239.0,656.0,240.0,1.0,Rural,Approved
LN100083,Male,Yes,1,Graduate,No,8962,5650.0,230.0,300.0,1.0,Rural,Rejected
LN100084,Male,No,0,Graduate,No,12426,1004.0,337.0,240.0,1.0,Semiurban,Approved
LN100085,Male,No,0,Graduate,No,14865,3002.0,236.0,,0.0,Semiurban,Approved
LN100086,Male,Yes,0,Graduate,No,8041,4145.0,187.0,300.0,0.0,Semiurban,Rejected
LN100087,Female,Yes,0,Graduate,No,10199,4183.0,179.0,360.0,1.0,Semiurban,Approved
LN100088,Male,Yes,0,Graduate,No,7433,3892.0,243.0,360.0,1.0,Semiurban,Approved
LN100089,Female,No,0,Graduate,No,7555,1652.0,365.0,360.0,1.0,Semiurban,Rejected
LN100090,Male,Yes,0,Not Graduate,No,12625,937.0,193.0,360.0,0.0,Urban,Rejected
LN100091,Male,Yes,0,Graduate,No,8109,3816.0,65.0,180.0,1.0,Urban,Approved
LN100092,Female,Yes,0,Graduate,,5917,3596.0,351.0,180.0,1.0,Semiurban,Approved
LN100093,Female,Yes,1,Not Graduate,No,10145,1076.0,472.0,240.0,1.0,Rural,Approved
LN100094,Male,Yes,1,Graduate,No,13358,4231.0,294.0,360.0,0.0,Semiurban,Approved
LN100095,Female,Yes,2,Graduate,No,14306,2731.0,156.0,240.0,1.0,Rural,Rejected
LN100096,Male,Yes,0,Graduate,No,14756,4007.0,137.0,300.0,1.0,Rural,Approved
LN100097,Male,Yes,0,Graduate,No,3318,5024.0,178.0,360.0,1.0,Urban,Rejected
LN100098,Male,Yes,0,Graduate,No,7963,1018.0,390.0,360.0,1.0,Semiurban,Rejected
LN100099,Male,Yes,1,Graduate,No,4400,115.0,53.0,120.0,1.0,Semiurban,Approved
LN100100,Male,Yes,1,Not Graduate,No,3995,4675.0,376.0,360.0,1.0,Rural,Approved
LN100101,Male,Yes,0,Graduate,No,14490,3658.0,459.0,360.0,1.0,Rural,Approved
LN100102,Male,Yes,3+,Graduate,No,14683,4198.0,355.0,360.0,0.0,Semiurban,Rejected
LN100103,Male,Yes,0,Graduate,No,5354,5029.0,656.0,360.0,1.0,Urban,Rejected
LN100104,Male,Yes,0,Graduate,No,12406,4817.0,274.0,120.0,1.0,Rural,Approved
LN100105,Female,Yes,1,Graduate,No,4649,5766.0,397.0,240.0,1.0,Urban,Rejected
LN100106,Male,No,2,Graduate,Yes,3542,3216.0,370.0,360.0,1.0,Rural,Approved
LN100107,Male,Yes,1,Not Graduate,No,3106,2931.0,608.0,360.0,1.0,Rural,Rejected
LN100108,Female,No,2,Graduate,No,5649,2411.0,230.0,360.0,1.0,Semiurban,Approved
LN100109,Male,Yes,0,Graduate,No,14160,922.0,667.0,360.0,1.0,Semiurban,Approved
LN100110,Male,No,2,Graduate,No,14568,3436.0,435.0,360.0,1.0,Semiurban,Approved
LN100111,Male,No,0,Graduate,Yes,9319,1662.0,667.0,360.0,1.0,Semiurban,Approved
LN100112,Male,Yes,2,Not Graduate,No,14647,5528.0,157.0,360.0,1.0,Urban,Approved
LN100113,,Yes,0,Not Graduate,No,14832,3499.0,580.0,360.0,1.0,Rural,Approved
LN100114,Female,Yes,2,Graduate,No,5995,3557.0,459.0,300.0,0.0,Rural,Rejected
LN100115,Male,Yes,0,Graduate,No,6978,2130.0,345.0,360.0,1.0,Rural,Approved
LN100116,Female,No,1,Graduate,No,4355,312.0,220.0,120.0,1.0,Urban,Rejected
LN100117,Female,No,0,Not Graduate,Yes,4105,190.0,380.0,240.0,0.0,Rural,Rejected
LN100118,Male,,2,Graduate,No,14500,2540.0,542.0,360.0,1.0,Semiurban,Approved
LN100119,Female,Yes,0,Graduate,No,9419,507.0,244.0,300.0,1.0,Urban,Approved
LN100120,Male,No,0,Graduate,No,11080,3641.0,61.0,240.0,0.0,Urban,Approved
LN100121,Female,No,0,Graduate,No,4442,5286.0,244.0,240.0,1.0,Urban,Approved
LN100122,Female,Yes,0,Graduate,,11169,5297.0,539.0,360.0,1.0,Rural,Rejected
LN100123,Male,Yes,2,Graduate,No,8209,3954.0,231.0,360.0,1.0,Semiurban,Rejected
LN100124,Male,No,0,Graduate,No,14908,1267.0,365.0,360.0,1.0,Semiurban,Approved
LN100125,Male,Yes,3+,Not Graduate,No,6557,5178.0,79.0,240.0,0.0,Urban,Rejected
LN100126,Male,No,0,Graduate,No,4794,5317.0,645.0,360.0,0.0,Semiurban,Approved
LN100127,Female,Yes,0,Graduate,No,10551,1180.0,145.0,360.0,1.0,Urban,Rejected
LN100128,Female,No,2,Graduate,No,12956,4425.0,430.0,300.0,1.0,Semiurban,Approved
LN100129,Male,Yes,1,Graduate,Yes,3071,1719.0,493.0,360.0,1.0,Semiurban,Rejected
LN100130,Male,Yes,0,Graduate,No,3613,4816.0,347.0,240.0,0.0,Urban,Rejected
LN100131,Male,Yes,1,Graduate,No,12907,5983.0,410.0,360.0,1.0,Rural,Rejected
LN100132,Male,No,1,Graduate,No,10601,180.0,423.0,360.0,1.0,Urban,Rejected
LN100133,Male,No,0,Graduate,No,4261,5384.0,603.0,360.0,1.0,Semiurban,Rejected
LN100134,Male,Yes,3+,Graduate,Yes,5920,3736.0,352.0,300.0,1.0,Semiurban,Approved
LN100135,Female,Yes,3+,Graduate,No,7924,5840.0,,360.0,,Semiurban,Rejected
LN100136,Male,No,1,Not Graduate,No,10275,2790.0,295.0,360.0,1.0,Urban,Approved
LN100137,Male,Yes,0,Graduate,No,12920,5084.0,286.0,360.0,1.0,Urban,Rejected
LN100138,Female,No,1,Not Graduate,No,6196,374.0,583.0,360.0,1.0,Rural,Approved
LN100139,Male,Yes,0,Graduate,No,11083,2012.0,234.0,300.0,1.0,Urban,Rejected
LN100140,Female,Yes,0,Graduate,No,2616,402.0,517.0,240.0,1.0,Rural,Rejected
LN100141,Female,Yes,0,Graduate,No,9104,5852.0,412.0,360.0,1.0,Rural,Approved
LN100142,Male,Yes,0,Graduate,No,9131,4902.0,332.0,360.0,1.0,Urban,Approved
LN100143,Male,No,2,Not Graduate,No,1882,5115.0,602.0,360.0,1.0,Urban,Approved
LN100144,Male,Yes,1,Graduate,No,3720,5628.0,385.0,240.0,1.0,Semiurban,Approved
LN100145,Male,Yes,2,Not Graduate,Yes,9617,511.0,,360.0,1.0,Rural,Approved
LN100146,Male,No,0,Graduate,No,13483,2314.0,209.0,300.0,1.0,Rural,Approved
LN100147,Male,Yes,0,Graduate,Yes,13136,426.0,523.0,360.0,1.0,Semiurban,Approved
LN100148,Male,Yes,0,Graduate,No,3893,1265.0,650.0,360.0,1.0,Rural,Rejected
LN100149,Male,No,3+,Graduate,No,14705,1376.0,371.0,360.0,1.0,Urban,Approved
LN100150,Male,Yes,0,Graduate,Yes,8871,2815.0,61.0,240.0,0.0,Rural,Rejected
LN100151,Female,Yes,2,Graduate,No,9767,1611.0,473.0,360.0,1.0,Rural,Rejected
LN100152,Male,No,1,Graduate,Yes,10167,606.0,122.0,300.0,1.0,Urban,Approved
LN100153,Male,Yes,0,Graduate,No,7085,1005.0,637.0,240.0,1.0,Urban,Rejected
LN100154,Male,Yes,1,Graduate,No,12696,884.0,250.0,360.0,1.0,Urban,Approved
LN100155,Female,Yes,0,Not Graduate,Yes,6737,5838.0,571.0,360.0,1.0,Urban,Approved
LN100156,Male,No,2,Not Graduate,No,2169,4556.0,554.0,300.0,1.0,Rural,Approved
LN100157,Male,Yes,2,Graduate,No,3618,5807.0,88.0,360.0,1.0,Semiurban,Approved
LN100158,Female,Yes,0,Graduate,No,3901,2638.0,,360.0,1.0,Urban,Rejected
LN100159,Male,No,0,Graduate,Yes,14777,1670.0,627.0,360.0,1.0,Semiurban,Approved
LN100160,Female,No,1,Not Graduate,No,5290,4790.0,370.0,240.0,1.0,Rural,Approved
LN100161,Male,Yes,,Graduate,No,3579,1958.0,484.0,360.0,1.0,Semiurban,Approved
LN100162,Male,Yes,0,Graduate,No,9474,1796.0,685.0,300.0,1.0,Semiurban,Approved
LN100163,Male,,1,Not Graduate,Yes,3164,1395.0,457.0,300.0,1.0,Urban,Rejected
LN100164,Male,No,1,Graduate,Yes,9094,778.0,435.0,180.0,1.0,Rural,Rejected
LN100165,Male,Yes,2,Graduate,No,14454,1539.0,618.0,360.0,1.0,Rural,Approved
LN100166,Female,Yes,0,Graduate,No,13334,2132.0,127.0,180.0,1.0,Urban,Approved
LN100167,Male,No,1,Graduate,No,14731,4044.0,243.0,240.0,1.0,Urban,Approved
LN100168,Male,No,2,Graduate,No,5476,375.0,334.0,300.0,1.0,Urban,Approved
LN100169,Male,Yes,0,Graduate,No,4226,1263.0,576.0,360.0,1.0,Urban,Rejected
LN100170,Male,No,0,Graduate,No,10064,4854.0,573.0,360.0,1.0,Semiurban,Rejected
LN100171,Male,Yes,3+,Graduate,No,9889,882.0,662.0,300.0,1.0,Rural,Approved
LN100172,Male,No,0,Not Graduate,No,4762,2056.0,205.0,360.0,0.0,Semiurban,Rejected
LN100173,Male,Yes,2,Graduate,No,2659,5188.0,389.0,360.0,1.0,Rural,Rejected
LN100174,Male,Yes,0,Graduate,No,13848,930.0,174.0,360.0,1.0,Semiurban,Approved
LN100175,Male,No,0,Graduate,No,5938,496.0,329.0,240.0,1.0,Semiurban,Approved
LN100176,Male,Yes,2,Not Graduate,No,4224,2907.0,671.0,360.0,1.0,Semiurban,Approved
LN100177,,Yes,0,Graduate,No,11056,1815.0,177.0,360.0,1.0,Urban,Approved
LN100178,Male,No,0,Graduate,No,12209,3380.0,363.0,360.0,0.0,Semiurban,Rejected
LN100179,Female,No,0,Not Graduate,No,5817,4823.0,381.0,300.0,1.0,Semiurban,Approved
LN100180,Male,Yes,1,Not Graduate,No,12251,823.0,199.0,360.0,1.0,Urban,Approved
LN100181,Male,No,0,Graduate,Yes,13743,3484.0,503.0,360.0,,Semiurban,Rejected
LN100182,Male,Yes,0,Not Graduate,No,12078,3033.0,85.0,360.0,1.0,Semiurban,Approved
LN100183,Female,Yes,3+,Graduate,No,10360,864.0,469.0,180.0,1.0,Rural,Approved
LN100184,Female,Yes,0,Graduate,No,12796,3744.0,71.0,300.0,1.0,Semiurban,Approved
LN100185,Male,Yes,1,Graduate,No,10142,1642.0,255.0,360.0,1.0,Rural,Rejected
LN100186,Male,No,0,Graduate,No,2934,2927.0,688.0,360.0,1.0,Semiurban,Rejected
LN100187,Female,Yes,2,Graduate,Yes,6966,494.0,405.0,240.0,1.0,Rural,Approved
LN100188,Male,Yes,0,Graduate,No,6919,2758.0,489.0,360.0,0.0,Semiurban,Approved
LN100189,Male,Yes,3+,Graduate,No,7494,1839.0,145.0,300.0,1.0,Rural,Approved
LN100190,Male,No,0,Graduate,No,12776,4934.0,213.0,360.0,1.0,Semiurban,Approved
LN100191,Male,Yes,0,Graduate,No,7936,342.0,197.0,360.0,0.0,Semiurban,Rejected
LN100192,Female,Yes,0,Graduate,No,7285,2512.0,579.0,360.0,1.0,Semiurban,Approved
LN100193,Female,Yes,0,Graduate,No,5964,2751.0,343.0,360.0,1.0,Semiurban,Approved
LN100194,Male,Yes,0,Graduate,No,4146,4350.0,244.0,300.0,1.0,Urban,Approved
LN100195,Male,Yes,0,Graduate,No,6839,3446.0,529.0,360.0,1.0,Urban,Approved
LN100196,Male,No,2,Graduate,No,6697,4003.0,172.0,240.0,1.0,Urban,Rejected
LN100197,Female,No,0,Not Graduate,No,12242,4662.0,449.0,360.0,1.0,Rural,Approved
LN100198,Female,Yes,0,Graduate,No,10052,5173.0,501.0,360.0,1.0,Urban,Approved
LN100199,Female,No,1,Graduate,No,6841,1883.0,153.0,360.0,1.0,Urban,Approved
LN100200,Female,No,1,Graduate,Yes,13002,3228.0,511.0,300.0,1.0,Semiurban,Approved
LN100201,Male,No,0,Graduate,No,5701,5041.0,445.0,360.0,1.0,Semiurban,Approved
LN100202,Male,Yes,0,Graduate,Yes,3137,5937.0,386.0,240.0,1.0,Semiurban,Approved
LN100203,Male,Yes,0,Not Graduate,No,2984,5337.0,648.0,180.0,1.0,Urban,Rejected
LN100204,Female,Yes,2,Graduate,No,6226,2229.0,191.0,360.0,1.0,Rural,Rejected
LN100205,Male,Yes,1,Graduate,Yes,3351,1171.0,366.0,360.0,1.0,Rural,Rejected
LN100206,Male,No,0,Graduate,No,14425,2936.0,607.0,360.0,0.0,Rural,Rejected
LN100207,Male,No,2,Graduate,Yes,3429,4450.0,576.0,300.0,1.0,Semiurban,Rejected
LN100208,Male,No,2,Graduate,No,11319,2955.0,605.0,240.0,1.0,Rural,Approved
LN100209,Male,Yes,1,Graduate,No,3326,2899.0,450.0,360.0,0.0,Urban,Rejected
LN100210,Male,Yes,2,Graduate,Yes,11665,5029.0,359.0,360.0,1.0,Urban,Approved
LN100211,Male,No,0,Graduate,No,3161,2168.0,544.0,240.0,,Urban,Rejected
LN100212,Male,No,0,Graduate,Yes,11565,5159.0,605.0,360.0,1.0,Semiurban,Rejected
LN100213,Male,Yes,0,Not Graduate,No,12678,2441.0,659.0,360.0,1.0,Semiurban,Rejected
LN100214,Male,No,0,Graduate,No,6170,1969.0,158.0,360.0,1.0,Semiurban,Approved
LN100215,Female,No,0,Graduate,No,7083,2724.0,421.0,360.0,1.0,Urban,Rejected
LN100216,Male,Yes,3+,Graduate,Yes,9410,4575.0,665.0,360.0,0.0,Semiurban,Rejected
LN100217,Male,Yes,0,Graduate,No,12358,756.0,255.0,360.0,1.0,Semiurban,Approved
LN100218,Female,Yes,0,Not Graduate,No,13749,1179.0,92.0,360.0,1.0,Semiurban,Approved
LN100219,Male,Yes,0,Graduate,No,12426,5709.0,294.0,180.0,1.0,Semiurban,Approved
LN100220,Female,Yes,3+,Graduate,No,3793,1053.0,336.0,360.0,1.0,Urban,Approved
LN100221,Male,No,0,Not Graduate,No,2669,3406.0,404.0,360.0,1.0,Rural,Approved
LN100222,Male,Yes,0,Graduate,No,2814,3476.0,525.0,360.0,1.0,Semiurban,Approved
LN100223,Male,Yes,0,Not Graduate,No,11903,2938.0,132.0,300.0,1.0,Urban,Approved
LN100224,Male,Yes,0,Graduate,No,2402,3868.0,159.0,360.0,0.0,Urban,Rejected
LN100225,Male,,3+,Graduate,No,13813,1379.0,239.0,360.0,1.0,Semiurban,Approved
LN100226,Male,No,3+,Graduate,No,2490,3316.0,300.0,180.0,1.0,Rural,Approved
LN100227,Female,Yes,0,Graduate,Yes,10485,2233.0,340.0,360.0,1.0,Semiurban,Rejected
LN100228,Male,Yes,3+,Not Graduate,No,2289,3970.0,694.0,360.0,1.0,Urban,Rejected
LN100229,Female,No,1,Graduate,No,8664,847.0,250.0,120.0,1.0,Rural,Approved
LN100230,Male,Yes,2,Graduate,No,9040,3425.0,375.0,360.0,1.0,Semiurban,Approved
LN100231,Female,Yes,0,Graduate,No,12548,1112.0,560.0,360.0,1.0,Semiurban,Approved
LN100232,Male,Yes,0,Graduate,No,14477,1672.0,458.0,360.0,1.0,Semiurban,Approved
LN100233,Male,Yes,0,Graduate,Yes,9586,1312.0,656.0,300.0,1.0,Urban,Rejected
LN100234,Male,Yes,1,Not Graduate,No,9824,1097.0,557.0,240.0,1.0,Semiurban,Rejected
LN100235,Male,Yes,,Graduate,No,2094,4954.0,650.0,360.0,1.0,Semiurban,Approved
LN100236,Female,Yes,0,Graduate,No,7288,1714.0,121.0,300.0,1.0,Rural,Rejected
LN100237,Male,No,0,Graduate,No,5827,5563.0,296.0,360.0,1.0,Semiurban,Rejected
LN100238,Male,Yes,1,Graduate,No,12835,5820.0,690.0,300.0,1.0,Semiurban,Rejected
LN100239,Male,Yes,0,Graduate,No,4712,3428.0,657.0,240.0,,Semiurban,Approved
LN100240,Male,Yes,,Graduate,No,11709,858.0,636.0,120.0,0.0,Rural,Rejected
LN100241,Female,Yes,3+,Not Graduate,No,12588,2247.0,615.0,360.0,0.0,Rural,Rejected
LN100242,Female,No,0,Graduate,Yes,6544,4786.0,393.0,360.0,1.0,Semiurban,Approved
LN100243,Female,Yes,1,Graduate,No,3673,2204.0,103.0,300.0,1.0,Semiurban,Approved
LN100244,Male,No,0,Graduate,No,14655,522.0,,300.0,1.0,Semiurban,Approved
LN100245,Male,Yes,2,Not Graduate,Yes,5058,3341.0,660.0,300.0,0.0,Semiurban,Rejected
LN100246,Female,Yes,0,Graduate,No,4617,5071.0,581.0,360.0,0.0,Urban,Rejected
LN100247,Male,Yes,1,Graduate,No,10436,4776.0,607.0,360.0,1.0,Semiurban,Approved
LN100248,Female,No,2,Graduate,No,5441,1051.0,242.0,,0.0,Urban,Approved
LN100249,Female,Yes,3+,Graduate,No,6258,4037.0,107.0,360.0,1.0,Rural,Approved
LN100250,Female,Yes,1,Graduate,No,7107,1323.0,486.0,360.0,1.0,Semiurban,Approved
LN100251,Male,Yes,0,Graduate,No,10733,1309.0,160.0,240.0,1.0,Rural,Rejected
LN100252,Male,No,1,Graduate,No,3841,5244.0,178.0,360.0,0.0,Semiurban,Approved
LN100253,Female,Yes,2,Graduate,No,2479,1498.0,375.0,240.0,1.0,Semiurban,Approved
LN100254,Male,No,1,Not Graduate,Yes,12459,1579.0,57.0,180.0,0.0,Semiurban,Approved
LN100255,Male,Yes,0,Not Graduate,No,13689,4.0,78.0,360.0,1.0,Urban,Approved
LN100256,Male,Yes,3+,Graduate,No,7538,5224.0,161.0,360.0,1.0,Semiurban,Approved
LN100257,Female,Yes,1,Graduate,No,7468,4756.0,180.0,360.0,,Urban,Approved
LN100258,Male,Yes,1,Graduate,No,11350,3764.0,237.0,360.0,1.0,Semiurban,Rejected
LN100259,Male,Yes,0,Graduate,No,9497,4502.0,524.0,360.0,1.0,Semiurban,Approved
LN100260,Male,Yes,1,Graduate,No,9833,912.0,413.0,240.0,1.0,Rural,Approved
LN100261,Male,No,0,Graduate,,1862,2750.0,253.0,360.0,1.0,Urban,Approved
LN100262,Female,Yes,1,Graduate,No,9629,2107.0,261.0,360.0,1.0,Urban,Rejected
LN100263,Male,Yes,0,Not Graduate,No,12551,563.0,670.0,360.0,1.0,Semiurban,Approved
LN100264,Male,Yes,1,Graduate,No,13761,2917.0,325.0,360.0,1.0,Rural,Approved
LN100265,Female,Yes,3+,Graduate,No,9152,5524.0,122.0,300.0,1.0,Semiurban,Approved
LN100266,Female,Yes,0,Not Graduate,No,8715,240.0,292.0,360.0,1.0,Semiurban,Approved
LN100267,Male,Yes,3+,Graduate,Yes,14343,1749.0,151.0,360.0,1.0,Semiurban,Approved
LN100268,Female,Yes,0,Graduate,No,10126,1245.0,220.0,300.0,1.0,Urban,Approved
LN100269,Male,,2,Graduate,No,5444,1429.0,237.0,360.0,1.0,Rural,Approved
LN100270,Male,No,2,Graduate,No,6770,5451.0,490.0,360.0,1.0,Semiurban,Approved
LN100271,Female,Yes,1,Graduate,No,14909,2808.0,135.0,360.0,0.0,Urban,Approved
LN100272,Female,Yes,2,Graduate,No,12127,2798.0,525.0,360.0,,Semiurban,Approved
LN100273,Female,Yes,2,Graduate,No,9803,4563.0,101.0,300.0,1.0,Urban,Approved
LN100274,Female,Yes,0,Not Graduate,No,5078,927.0,160.0,180.0,1.0,Rural,Approved
LN100275,Male,Yes,0,Not Graduate,No,9096,2924.0,92.0,240.0,1.0,Urban,Rejected
LN100276,Male,Yes,,Not Graduate,,10814,2580.0,260.0,360.0,1.0,Semiurban,Rejected
LN100277,Female,No,2,Graduate,No,4874,3581.0,249.0,240.0,0.0,Urban,Rejected
